court,date,count
mogilevskaja,2019-04-15,200
minsk,2017-01-04,197
minsk,2017-01-05,178
minsk,2017-01-03,163
minsk,2017-04-18,159
minsk,2017-03-28,150
minsk,2017-03-29,146
minsk,2017-09-29,137
minsk,2017-05-05,135
minsk,2017-12-05,135
minsk,2017-04-05,134
minsk,2018-12-10,134
minsk,2017-03-16,133
minsk,2018-01-03,132
minsk,2017-01-31,131
minsk,2017-03-03,131
minsk,2017-03-06,131
minsk,2018-01-04,130
minsk,2017-04-21,129
minsk,2017-05-12,129
minsk,2017-06-26,129
minsk,2017-02-17,128
minsk,2019-06-17,126
minsk,2019-03-22,125
minsk,2017-02-24,124
minsk,2017-03-27,124
mogilevskaja,2018-02-12,124
minsk,2017-01-17,123
minsk,2017-04-06,123
mogilevskaja,2018-03-26,123
minsk,2017-03-14,121
minsk,2017-05-26,121
minsk,2017-12-29,121
minsk,2018-11-30,121
minsk,2017-03-20,120
minsk,2017-05-02,120
minsk,2020-05-28,120
minsk,2017-02-09,119
mogilevskaja,2019-04-01,119
minsk,2017-02-20,118
minsk,2017-04-03,118
minsk,2017-04-10,118
minsk,2017-05-15,118
minsk,2017-12-04,118
minsk,2019-03-26,118
mogilevskaja,2020-05-18,118
minsk,2017-04-26,117
minsk,2017-08-11,117
minsk,2020-05-26,117
mogilevskaja,2018-06-18,117
minsk,2017-02-10,116
minsk,2017-04-07,116
minsk,2017-04-17,116
minsk,2017-06-05,116
minsk,2017-08-31,114
minsk,2017-11-27,114
minsk,2017-12-20,114
mogilevskaja,2019-07-01,114
minsk,2019-08-26,113
mogilevskaja,2019-04-29,113
minsk,2017-03-13,112
minsk,2017-06-22,112
minsk,2017-06-28,112
minsk,2017-03-31,111
minsk,2017-06-12,111
minsk,2020-02-13,111
minsk,2017-03-02,110
minsk,2017-05-17,110
minsk,2017-11-08,110
minsk,2018-04-02,110
minsk,2019-06-24,110
minsk,2020-05-22,110
minsk,2020-05-25,110
mogilevskaja,2018-01-03,110
mogilevskaja,2018-06-11,110
mogilevskaja,2019-05-20,110
mogilevskaja,2019-10-21,110
minsk,2017-02-13,109
minsk,2017-10-09,109
minsk,2017-12-26,109
minsk,2018-04-03,109
mogilevskaja,2018-12-28,109
mogilevskaja,2019-12-30,109
minsk,2017-01-30,108
minsk,2017-02-27,108
minsk,2017-06-07,108
minsk,2017-11-28,108
minsk,2017-01-18,107
minsk,2017-02-22,107
minsk,2017-11-13,107
minsk,2020-05-29,107
minsk,2017-02-21,106
minsk,2017-09-01,106
minsk,2017-11-16,106
minsk,2017-11-30,106
minsk,2018-02-02,106
minsk,2018-06-26,106
minsk,2018-12-28,106
minsk,2019-03-11,106
minsk,2017-03-22,105
minsk,2017-10-13,105
minsk,2017-12-28,105
minsk,2018-02-23,105
minsk,2019-06-03,105
minsk,2019-08-05,105
minsk,2019-12-09,105
minsk,2020-05-27,105
mogilevskaja,2018-07-04,105
minsk,2017-03-17,104
minsk,2017-04-11,104
minsk,2017-10-27,104
minsk,2018-09-17,104
minsk,2020-03-12,104
minsk,2020-03-16,104
mogilevskaja,2019-02-25,104
minsk,2017-02-16,103
minsk,2017-02-28,103
minsk,2017-03-09,103
minsk,2017-07-17,103
minsk,2017-11-23,103
minsk,2017-12-06,103
minsk,2018-11-15,103
minsk,2019-12-16,103
minsk,2017-03-30,102
minsk,2017-05-10,102
minsk,2017-10-26,102
minsk,2018-10-15,102
minsk,2018-12-03,102
minsk,2019-06-21,102
mogilevskaja,2018-02-26,102
mogilevskaja,2018-08-20,102
mogilevskaja,2019-11-11,102
minsk,2017-06-29,101
minsk,2017-06-30,101
minsk,2017-11-17,101
minsk,2018-12-14,101
minsk,2018-12-29,101
minsk,2019-08-12,101
minsk,2017-01-26,100
minsk,2017-02-23,100
minsk,2017-11-20,100
minsk,2017-12-15,100
minsk,2018-03-12,100
minsk,2018-11-27,100
minsk,2019-12-05,100
minsk,2020-01-03,100
minsk,2020-02-17,100
mogilevskaja,2019-01-16,100
